legacy_db,legacy_table,family,target_entity,target_table,legacy_column_count,primary_key_columns,foreign_key_count
02-administrativo-evaluador,ctg_productos_fv_FIT,ctg_productos_{tipo}_fit,product,product,33,adm_fvFIT_id|adm_fvFIT_tpr_id|adm_fvFIT_tipo,1
02-administrativo-evaluador,ctg_productos_fv_files,ctg_productos_{tipo}_files,product,product,13,adm_fvfil_idr|adm_fvfil_numsol|adm_fvfil_tpr_id|adm_fvfil_tpt_id|adm_fvfil_id,3
02-administrativo-evaluador,ctg_productos_fv_formula,ctg_productos_{tipo}_formula,product,product,23,adm_fvFOR_idr|adm_fvFOR_tpr_id|adm_fvFOR_id|adm_fvFOR_sus_id|adm_fvFOR_tipo,3
02-administrativo-evaluador,ctg_productos_fv_formulareg,ctg_productos_{tipo}_formulareg,product,product,23,adm_fvFOR_idr|adm_fvFOR_tpr_id|adm_fvFOR_id|adm_fvFOR_sus_nom|adm_fvFOR_tipo,2
02-administrativo-evaluador,ctg_productos_fv_historia,ctg_productos_{tipo}_historia,product,product,13,adm_fvHIS_id|adm_fvHIS_tpr_id|adm_fvHIS_tipo|adm_fvHIS_fecha,1
02-administrativo-evaluador,ctg_productos_fv_mensajes,ctg_productos_{tipo}_mensajes,product,product,13,adm_fvmsg_idr|adm_fvmsg_tpt_id|adm_fvmsg_tpr_id|adm_fvmsg_tipo|adm_fvmsg_id,1
02-administrativo-evaluador,ctg_productos_fv_public_files,ctg_productos_{tipo}_public_files,product,product,15,adm_fvpub_idr|adm_fvpub_numsol|adm_fvpub_tpr_id|adm_fvpub_tpt_id|adm_fvpub_id,3
02-administrativo-evaluador,ctg_productos_fv_reg,ctg_productos_{tipo}_reg,product,product,5,adm_fv_id|adm_fv_tpr_id,1
02-administrativo-evaluador,ctg_productos_fv_tramite,ctg_productos_{tipo}_tramite,product,product,63,adm_fv_tpt_idr|adm_fv_tpt_id|adm_fv_tpr_id,1
02-administrativo-evaluador,ctg_productos_mm,ctg_productos_{tipo},product,product,86,adm_mm_id|adm_mm_tpr_id,4
